Nature and Places,Pluto[ZWJ sequence:🌐+♇=🌐‍♇],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
,Molecule,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Nature and Places,Fossil Fish,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Nature and Places,Impact Crater,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Nature and Places,Warming Earth,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
,Iceberg,"Michael Gubik, Tom Moore",2018‑03‑27,L2/18‑111,
,Lighthouse[ZWJ sequence:💡+🏠️=💡‍🏠],Helen Wallace,2018‑03‑17,L2/18‑204,
,River,Christian Krenek,2019‑08‑06,L2/19‑334,L2/19‑363R*
,Gurdwara,"Jessica Saggu, Girish Dalvi",2021‑06‑02,L2/21‑195,
Other Objects,Gurdwara,"Jessica Saggu, Girish Dalvi",2021‑06‑02,L2/21‑195,L2/19‑363R*
,Match,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,
,Magic Hat,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,
Other Objects,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑24,L2/16‑304,L2/14‑174R,L2/19‑363R*
,Handcuffs,Emoji Subcommittee,2015‑02‑02,L2/15‑054R,
,Condom,Tamara Greene,2016‑01‑15,L2/16‑022,
,Pad(menstrual pad),Svenska Cellulosa AB,2016‑03‑21,L2/16‑126,
Other Objects,Cramps(hot water bottle),Svenska Cellulosa AB,2016‑03‑21,L2/16‑126,L2/19‑363R*
,Erlenmeyer Flask,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Other Objects,Rock Hammer,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Other Objects,Bunsen Burner,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Other Objects,Seismogram,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
,U+1F56D🕭Ringing Bell,Wolfram Kleff,2017‑07‑29,L2/17‑240,L2/17‑287
,Poison,"Erwin Völkening, Yuan Jacob Ahn",2017‑10‑02,L2/18‑019,L2/18‑023
,Incense,Philippe Kimura‐Thollander,2017‑08‑06,L2/17‑387,
,Service Animal Vest,Emoji Subcommittee,2018‑05‑03,L2/18‑143R2,L2/18‑256156‑C20
,Inhaler,"Tom Adams, Jerri Wilson",2018‑03‑01,L2/18‑215,L2/18‑222R3
,Tissue Box,"Donnie Discepolo, Trevor Munson, Dwight Knell",2018‑07‑02,L2/18‑262,L2/18‑307
,Diaper,"Tim Resudek, Vidit Maniyar, Anush Vishwanath, Braden Ericson, Rusi McHedlishvili, Christian Krenek",2019‑03‑31,L2/19‑215,L2/19‑363R*
,Cooking Pot,Samantha Sunne,2019‑01‑22,L2/19‑060,L2/20‑242R
,Chainsaw,Bryan Kappa,2019‑04‑09,L2/19‑312,L2/20‑242R
Other Symbols,Chainsaw,Bryan Kappa,2019‑04‑09,L2/19‑312,L2/20‑242R
,Emoji Compatibility Symbol-1...Emoji Compatibility Symbol-66,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,
⮕,U+2B95⮕Rightwards Black Arrow,J. S. Choi,2015‑12‑12,L2/16‑012,
,U+221E∞Infinity,"Onelia Álvarez, Gonzalo Alonso",2017‑02‑03,L2/17‑343,
,Pi,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
,Heart with Knife[ZWJ sequence:❤️+🔪=❤️‍🔪],Ivana Jovic,2017‑06‑28,L2/17‑228,L2/17‑380L2/17‑401
Flags,Heart with Knife[ZWJ sequence:❤️+🔪=❤️‍🔪],Ivana Jovic,2017‑06‑28,L2/17‑228,L2/17‑380L2/17‑401
,Flag for Alabama[tag sequence:🏴usal=🏴󠁵󠁳󠁡󠁬󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),
Flags,Flag for Alaska[tag sequence:🏴usak=🏴󠁵󠁳󠁡󠁫󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Arizona[tag sequence:🏴usaz=🏴󠁵󠁳󠁡󠁺󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Arkansas[tag sequence:🏴usar=🏴󠁵󠁳󠁡󠁲󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for California[tag sequence:🏴usca=🏴󠁵󠁳󠁣󠁡󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Colorado[tag sequence:🏴usco=🏴󠁵󠁳󠁣󠁯󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Connecticut[tag sequence:🏴usct=🏴󠁵󠁳󠁣󠁴󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Delaware[tag sequence:🏴usde=🏴󠁵󠁳󠁤󠁥󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Florida[tag sequence:🏴usfl=🏴󠁵󠁳󠁦󠁬󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Georgia[tag sequence:🏴usga=🏴󠁵󠁳󠁧󠁡󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Hawaiʻi[tag sequence:🏴ushi=🏴󠁵󠁳󠁨󠁩󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Idaho[tag sequence:🏴usid=🏴󠁵󠁳󠁩󠁤󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Illinois[tag sequence:🏴usil=🏴󠁵󠁳󠁩󠁬󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
Flags,Flag for Indiana[tag sequence:🏴usin=🏴󠁵󠁳󠁩󠁮󠁿],Kyle Condra,2016‑08‑13,(L2/17‑382),L2/17‑380L2/17‑401
